institution_id,language_code,institution_international_name
106785703,sv,Institut polytechnique de Grenoble
4210140009,en,Taipei Municipal Jen-Ai Hospital
58064216,cy,Prifysgol Bellevue
1287402277,fr,observatoire de Las Cumbres
4210145221,en,Canatu (Finland)
4210163935,en,Anautics (United States)
4210123912,en,La Cité Médicale
4210128055,en,Centre d'Investigation Clinique de Nantes
4210139729,en,Bio S&T (Canada)
3093497837,de-ch,United States Army Intelligence and Security Command
186131212,ml,ഷെവ്രോൺ കോർപ്പറേഷൻ
135598925,arz,جامعة كيوشو
4210160502,en,Sportovní Centrum Atlas (Czechia)
4392738077,en,NIHR Collaboration for Leadership in Applied Health Research and Care South London
1320697193,wuu,佳能
82904351,en-gb,University of Santo Tomas
4210101355,en,Sico Technology (Austria)
1293830696,tr,Denver Art Museum
4210096109,en,Medicinska Understödsföreningen Liv och Hälsa
194343955,azb,پرتامینا
6498739,nb,Indian Statistical Institute
171343974,en,Southwest Virginia Community College
2802798279,en-ca,Leonardo
4210157054,en,UK-China Guangdong CCUS Centre
184983240,en,Northeast Normal University
50310733,bs,Centralna banka Portugala
35552710,en,The Nippon Dental University
200719446,id,Universitas Vanderbilt
2250955327,id,Huawei
4210108748,en,MEIS Storitve za Okolje
125956826,he,אוניברסיטת מדינת ארקנסו
128243007,bg,Ковенант колидж
43879129,nl,Government College University
4210165998,en,South Bronx Overall Economic Development
1311218312,ga,Semiconductor Manufacturing International Corporation
4210149210,en,Sacramento Public Library
41549804,ga,Ollscoil Vidyasagar
57206974,cy,Prifysgol Efrog Newydd
4387152609,en,X-Spectrum (Germany)
4210093326,en,Targeting Innovation
174878644,tl,Unibersidad ng Patras
155256416,hy,Հատուկ Ռազմական Դպրոց Սեն Սիր
2802753785,ja,馬偕紀念医院
3132438211,gpe,Regional Maritime University
4387153288,en,Dulaty University
104946051,uk,Університет Ніхон
59433898,fa,دانشگاه برونل لندن
4210147200,en,Raffinerie Tirlemontoise (Belgium)
2801046236,en,Western Nevada College
183594015,es,Universidad Tsuda
530967,zh-hans,多伦多都会大学
2948394018,hu,Northrop Grumman
40347166,fa,دانشگاه شیکاگو
1282869487,fr,Curtiss-Wright Corporation
2801637272,zh-cn,大韩红十字会
899635006,ga,Ollscoil Grenoble Alpes
1334696734,kn,ಅಮೆರಿಕನ್ ಏರ್ಲೈನ್ಸ್
90016038,de,BorgWarner
4210101126,en,Hanusch Hospital
61412661,da,Seneca College
25051037,ja,スタンレー医科大学
2800581689,ha,Kwalejin Lissafi ta Botswana
120250893,ja,ニューヨーク大学アブダビ校
2746051580,fa,دانشگاه پی‌اس‌ال
4210119288,en,Development Delivery International
90576441,zh,亞特拉斯電子
82040044,en-gb,Citizen Holdings
65794948,en,Fundação Armando Alvares Penteado
1307721752,ja,AOL
2801319255,tr,SL Benfica
39470171,ga,Institiúid Teicneolaíochta Ollscoil Ontario
138925566,lv,Ihvas Sieviešu universitāte
194210350,de,École nationale supérieure d'ingénieurs de Caen
122725048,zh-hans,哈尔科夫国立经济大学
4210118778,en,ProLynx (United States)
4210143591,en,Veolia (Australia)
98677209,ur,جامعہ ایڈنبرگ
2801440235,it,North Manchester General Hospital
4390039365,en,Moinhos de Vento Agroecology Research Centre
926574661,be,Лейпцыгскі ўніверсітэт
2800409097,eo,Urala Ŝtata Arkitektura-Arta Akademio
93860229,pnb,پولی ٹیکنیک یونیورسٹی آف میلان
44202434,be,Фонд Жэтуліу Варгаса
163600702,eo,Moskva Ŝtata Universitato de Arbaro
4210115846,en,Passat (Canada)
4210134398,en,"Systems, Applications, and Products in Data Processing (Russia)"
4210145395,en,Edinburgh World Heritage
4210101336,en,Sociedad Española de Reumatología
4210146827,en,Eurorad (France)
922829273,zh,贝翰文大学
4210155724,en,Centre Hospitalier Universitaire de Rennes
4210164345,en,Instituto de Hematología e Inmunología
171543936,en,Free University of Bozen-Bolzano
1286959531,srn,Verenigde Nâsi
3132096736,en,Universitas Warmadewa
4210163853,en,Pfizer (India)
4390039370,en,Harold C. Simmons Comprehensive Cancer Center
4210094714,en,Gismo Therapeutics (United States)
4210090419,en,ViDiS (Czechia)
4210119450,en,Robotic Drilling Systems (Norway)
8031829,zh-hant,柯柏聯盟學院
4210123986,en,General Innovations and Goods (United States)
4387156312,en,National Yang Ming University
2800275662,de,Malcolm Grow Medical Center
886932462,de,Foster-Miller
2802111147,sw,Université de Mbujimayi
3167484455,hy,Carl-Zeiss-Stiftung
4210155511,en,First Affiliated Hospital of Henan University
71965598,fa,دانشگاه آدلفی
184468904,ga,Ollscoil Qom
36001604,sl,Univerza v Pešavarju
1343329050,fi,U.S. Customs and Border Protection
2801246084,zh-tw,兒童保護基金
145388677,gom,एड्स
42264441,min,Universitas Lambung Mangkurat
4210131381,en,Autorité de Sûreté Nucléaire
13511017,ru,Университет штата Техас
3132161128,vi,Trường Đại học Hải Phòng
4210134536,en,Vodárenská Společnost Chrudim (Czechia)
1285402005,nds,Welthannelsorganisatschoon
1292227370,cs,Viktoriino a Albertovo muzeum
112289208,sr,Уницеф
39343248,vi,Đại học Humboldt Berlin
173085932,mt,Università tal-mużika u l-arti interpretattivi ta' Vjenna
181231927,ur,نیشنل یونیورسٹی آف آئر لینڈ
219826191,ia,Universidade do Estado de Minas Gerais
197323543,pnb,مینز یونیورسٹی
4210117255,en,Maasai Wilderness Conservation Trust
2800531617,fr,Sparrow Hospital
3132536144,hy,Հյուսիս-օսեթյան պետական համալսարան
2799549194,zh,圣安东尼奥艺术博物馆
2799448773,en,Creative Scotland
110383171,en,American Society for Engineering Education
4210124508,en,Bethesda Hospital East
3131612652,tt,Идел дәүләт су транспорты университеты
2800237463,nds,Association for Women Geoscientists
4092182,he,האוניברסיטה הטכנולוגית של גראץ
1336377119,zh-cn,物质成瘾和心理健康服务部
2802388269,it,EA Vancouver
2803021075,lv,Ņujorkas publiskā bibliotēka
4210090938,en,Institute of Laser Physics
126460647,eo,FURG
4210098651,en,Hematology & Oncology Consultants
13469542,en,Vrije Universiteit Brussel
151567339,sei,Davis
3137016622,sv,Ranney School
104946051,zh-hk,日本大學
88100897,kn,ಯೊಕೊಗಾವ
204136569,tr,Open University
208446575,zh-hk,地方政府環境行動理事會
172633693,ru,Университет Томаса Эдисона
174748290,cy,Prifysgol Kainan
307262595,pt,Universidade de Belize
108108428,es,Universidad de Thammasat
4210133449,en,Hochbahn (Germany)
101343708,ja,マーサー・ヒューマン・リソース・コンサルティング
110263422,de-ch,Högskolan Väst
189268942,el,Πανεπιστήμιο της Αλκαλά
99043593,sv,Macquarie University
2800754060,fa,مرکز اسمبلی میچود
889315371,te,వ్యవసాయం
4210090287,en,Housey Pharmaceutical Research Laboratories
2802160682,it,Governo del Galles
1317542632,zh,委內瑞拉中央銀行
192758561,uk,Забайкальський державний університет
4210098019,en,Confederacion Española de Organizaciones Empresariales del Metal
98259816,en-gb,Birkbeck College
3137694307,sv,New England Institute of Art
4210165385,en,BBB Therapeutics (Netherlands)
2802957943,en,Georgia Department of Labor
2800132355,zh-hant,北愛爾蘭警察部門
1322300227,nl,Audi
2802661885,fi,Sierra Club
4210123318,en,Housing Research Foundation
4210105656,en,Tokushima Prefectural Police
4210109293,en,Intersect ENT (United States)
1281539108,fr,Hospital for Special Surgery
82002896,nb,Universidad Central de Venezuela
210804748,fr,Académie allemande des sciences et de l'ingénierie
56081889,ro,Universitatea Mendel din Brno
4210108712,en,INFICON (United States)
168893459,gu,અલાહાબાદ વિશ્વવિદ્યાલય
4210119059,en,Saitama Prefectural Industrial Technology Center
4210114815,en,Vitrociset (Italy)
29891158,ja,シャールジャ大学
193427800,ru,Applied Materials
135310074,hu,Wisconsin–Madison Egyetem
162210093,th,สถาบันวิจัยข้าวระหว่างประเทศ
197347611,da,Korea-universitetet
2802412446,ca,Mitutoyo
2801551368,sv,Movember
4210157889,en,CenterKontura (Slovenia)
2800220363,ru,The Open Group
4210089564,en,Gujarat Cancer Society
26538001,cs,San Diego State University
66217453,ga,Cadence Design Systems
91221267,fr,Minnesota State Colleges and Universities System
1312857945,de,NRDC
2800158244,de-ch,Walker Art Center
930026050,ru,China Steel
4210154464,en,Océanopolis
350617331,ja,上海音楽学院
33375025,cs,Airbus
2802410646,it,American Association for State and Local History
4210157062,en,Stockholm University of the Arts
4210108739,en,Canadian Hospice Palliative Care Association
166337079,fi,Queen Maryn yliopisto
4210112500,en,QuantumBio (United States)
2801319255,tt,Бенфика
4210166542,en,Air Liquide (Canada)
4210112369,en,Alton Community Hospital
4210138223,en,Mademoiselle Desserts (United Kingdom)
119444370,ru,Технологический университет Папуа — Новой Гвинеи
4210092142,en,Canadian Economics Association
4210160674,en,Ministry of Health and Social Welfare
114027177,sco,Varsity o North Carolina at Chapel Hill
110002522,fa,دانشگاه اسکس
27804330,tt,Браун үнивирситите
4210091827,en,Mobile County Public Schools
1292359360,or,ନାଟୋ
66855515,ru,Repsol YPF
2801582665,vi,Cơ quan Phát triển Quốc tế Hoa Kỳ
2800996768,zh-hk,關西電力
177877127,de,University of Western Australia
117841876,jv,Universitas Pantheon-Assas
114457229,ur,جامعہ جنیوا
4210139189,en,Hesse (Germany)
1305444813,azb,کپیتال وان
4210134744,en,North Central Organized Regionally For Total Health
4210148662,en,VLP Biotech (United States)
4210152269,en,Rätisches Museum
57615478,en,Mahle GmbH
158749337,en,Princess Sumaya University for Technology
1292227370,el,Μουσείο Βικτωρίας και Αλβέρτου
4210147147,en,AlterSanté
1338124936,nb,American Museum of Natural History
106938459,et,New Brunswicki ülikool
2801199498,de,Banff Centre for Arts and Creativity
97061514,be,Мэрылендскі ўніверсітэт Глабальны кампус
2800093905,sl,Zvezno ministrstvo za izobraževanje in raziskave
2803064384,es,Museo Etnográfico
45084792,ka,ფლორენციის უნივერსიტეტი
2802831152,da,Kommunehospitalet
45391821,ar,جامعة غاكوشوين
2799410123,zh,特許建造學會
859038795,eo,Virginia Politeknika Instituto kaj Ŝtata Universitato
4210119436,en,Azienda Ospedaliero Universitaria Maggiore della Carita
82509713,fi,Mälarinlaakson korkeakoulu
99064381,eo,Armena Akademio de Sciencoj
135117807,ja,シャーブルック大学
4210133217,en,Capital Technology Information Services
52179390,be,Універсітэт Вайката
22716965,hi,राष्ट्रीय भूभौतिकीय अनुसंधान संस्थान
1309532762,arz,بلاكبيرى ليمتد
277688954,sk,Université Paris-Saclay
3020100970,ru,Мемориальная больница Чанг Гун
1334729051,zh-tw,新疆師範大學
3132148935,en,Dadabhoy Institute of Higher Education
4210144091,en,Independence Public Library
4210111547,en,Institute for the History of the German Jews
4210167431,en,McIntosh Sustainable Environment and Economic Development
74756048,az,Sankt-Peterburq Dövlət Pediatriya Tibb Universiteti
1302207122,id,Carl Zeiss AG
3123529209,be,Самарскі дзяржаўны тэхнічны ўніверсітэт
1341575764,sv,Federal Reserve Bank of Minneapolis
1336273203,es,Buró Nacional de Investigaciones
1279955124,ro,Muzeul de Istorie Naturală din Viena
861268105,ga,Sidley Austin
2802351013,de,Flagstaff Medical Center
4210135682,en,Gabinete de Estudos Olisiponenses
2802226050,fr,Algoryx Simulation AB
40912709,zh,布巴內什瓦爾
4210161914,en,Abbey library of Saint Gall
4210089568,en,Photon-X (United States)
176790666,nl,Funai
41832843,es,Universidad de Tabriz
97750245,es,Software AG
2801313885,sms,Italia tiõrvâsvuõttministeria
161318765,en-gb,"University of California, Los Angeles"
102607778,fa,دانشگاه ایالتی کلیولند
75722487,ur,چووین یونیورسٹی
4210100696,en,Colorado Joint Replacement
165522056,zh-hans,东京电机大学
4210099523,en,Gulf English School
4210112562,en,Quigley and Watts (New Zealand)
2801284820,ru,Норвежское агентство по сотрудничеству в целях развития
74920221,en,University of La Serena
198667473,ko,초당대학교
3132435657,en,Bhupendra Narayan Mandal University
48912391,kaa,Istanbul texnika universiteti
4210117148,en,Streeklab Haarlem
185658715,sl,Universities UK
2799594651,it,Salisbury District Hospital
4028839,en,Biju Patnaik University of Technology
889315371,ig,oru ugbo
4210138249,en,Universitas Bojonegoro
3018483916,zh-hant,醫學中心
79189158,fr,université de Castille-La Manche
1334627681,sk,Laboratórium prúdového pohonu
4210114990,en,Wyld (United Kingdom)
124574311,nl,Cambridge Health Alliance
119694697,eo,Rusia Ŝtata Universitato de Gaso kaj Nafto Gubkin
166433441,zh-cn,不莱梅应用科学大学
350617331,wuu,上海音乐学院
2801343178,en,American Society for Horticultural Science
2801522054,sw,Nyumba ya Uhuru
198945027,ro,Universitatea Central-Europeană
146416000,cy,Prifysgol Kansas
82904351,en,University of Santo Tomas
126031752,zh-hant,聖巴巴拉城市學院
74656192,la,Universitas Regia Georgia Augusta
4210093644,en,Regional Medical Research Centre
3024743231,sv,North Hertfordshire College
86677382,lo,ມະຫາວິທະຍາໄລສິນລະປາກອນ
118347220,bn,এনইসি
2801652605,zh-hans,Warren Alpert基金会奖
198445264,smn,Arcada áámmátollâškovlâ
127462306,nl,"Science Letters of the National Academy of Sciences, India"
166972335,sv,Kenyon College
53508799,ne,टुमकुर विश्वविद्यालय
31944674,de,Universidad de Costa Rica
110079840,sv,Universitetet i Hohenheim
2801888349,ko,미국특허청
4210122067,en,Daehang Hospital
111567634,arz,جامعة ولايه الاداره
2802843175,zh-hant,皮波第展示學校
1341282493,fr,Marks
4210143454,en,Biomedical Acoustics (United States)
73443619,zh,南缅因州大学
4210156584,en,Centre of Excellence for Integrated Approaches in Chemistry and Biology of Proteins
127591826,arz,جامعة ديتون
1290603121,ht,Òganizasyon Mondyal Lasante
262026596,uk,Інститут хорватської мови та мовознавства
2801270453,ja,スロベニア学術研究ネットワーク
2802841409,id,Angkatan Bersenjata Norwegia
31746571,sv,University of New South Wales
4210135995,en,Liver Foundation West Bengal
4390039303,en,Stanford Cancer Institute
4392738181,en,Foundation Medicine (United States)
178450904,ja,スペイン国立通信教育大学
2800638129,nl,Pacific Tower
2800364127,it,Jacobi Medical Center
1339201920,ca,Eurostat
2799699971,en,American Society for Nutrition
125133608,sv,Royal Bank of Canada
127558574,ko,DSM (기업)
2800628740,smn,Island meteorologisâš lágádâs
4210166340,en,NanoCarrier (Japan)
40120149,lb,University of Oxford
1317239608,yue,聯邦儲備局
1174212,tl,University of Southern California
36522303,vi,Đại học Greifswald
4210121991,en,The Korean Society of Management Information Systems
63885303,vec,Ruskin College
3131730746,ga,Ollscoil Himeji
1287643137,it,Beth Israel Medical Center
347675474,zh,密苏里浸会大学
157913058,ia,Generalitat de Catalunya
2800164252,kk-arab,ە.ا.بوكەتوۆ اتىنداعى قاراعاندى مەملەكەتتىك ۋنىيۆەرسىيتەتى
21234101,ta,தியாகராசர் பொறியியல் கல்லூரி
887064364,ta,ஆம்ஸ்டர்டேம் பல்கலைக்கழகம்
43275575,zh-hans,维斯塔斯
4387154093,en,Universidad María Auxiliadora
186044516,ro,Kühne Logistics University
149213910,uk,Антверпенський університет
4210159258,en,Shakarim State University Of Semey
3131550300,io,Universitato di Toulouse 1 Capitole
149768937,wa,Univiersité d' Nameur
193615760,hu,Szeptember 9 Egyetem
2802430469,fi,Nederlandse Spoorwegen
4210144660,en,Richard H. Weisler M.D P.A. and Associates
201953328,yue,神田外語大學
36169673,ru,Alstom
47548798,de,Universidade Cândido Mendes
1306686416,nl,Raytheon Technologies Corporation
930713850,he,אוניברסיטת האג
1342131907,fr,Unilever
1295121038,la,Valetudinarium Generale Leodiense
180634299,zh,锡斯坦－俾路支斯坦大学
2801810276,sw,Tume ya Sayansi na Teknolojia Tanzania
4391767824,en,State Key Laboratory of Baiyunobo Rare Earth Resource Researches and Comprehensive Utilization
2800747041,tr,Kore Uzay Araştırmaları Enstitüsü
4210097859,en,Sangath
2801618619,zh,生命太平洋學院
318025780,ga,Foxconn
4210096167,en,Association of Japanology in East Asia
3132337544,ga,Ollscoil Luarasi
3133016518,zh,山形县立米泽女子短期大学
10656860,sk,Stockholm International Peace Research Institute
1328908458,uk,Лікарі без кордонів
4210157126,en,Rural Support Partners
205783295,nds,Cornell University
3130461500,ga,Ollscoil Bedër
1285764155,an,Merck
4210111768,en,TE Connectivity (Denmark)
1325620243,hi,संयुक्त राष्ट्र औद्योगिक विकास संगठन
4210120344,en,Central Research Institute of Geological Prospecting for Base and Precious Metals
4210140408,en,Minneapolis VA Medical Center
1326158516,zh,威斯康星校友研究基金会
1343871089,es,Laboratorio Nacional de Los Álamos
166794780,en,Wells Fargo
52357470,nds,Ohio State University
1334226719,vi,Học viện Phẫu thuật Chỉnh hình Hoa Kỳ
83019370,tr,Eindhoven Teknik Üniversitesi
1339579626,an,Online Computer Library Center
2802234274,pt,Queensland Rail
4210153770,en,Gukje Cyber University
1293318137,vi,Michelin
882656400,th,โคมัตสุ
3131416625,zh,哈尔科夫文化学院
1334819555,be,Мемарыяльны анкалагічны цэнтр імя Слоуна — Кетэрынга
154840374,sw,Muhimbili
104029552,fr,North Carolina Wesleyan College
4210121701,en,Working Men’s Institute
1318774259,nl,Busek
863786607,vec,Fresenius
2802767308,ja,マイル・エンド病院
4210133140,en,Institut Lumière Matière
4210092407,en,Aomori Rosai Hospital
153515283,yi,אייראפעישער צענטראלער באנק
190930483,nl,Kyorin Universiteit
90527594,ast,Universidá de Nuakxot
4210128669,en,Institute of Bohuslav Martinů (Czechia)
90843659,et,Franche-Comté ülikool
91450128,ar,جامعة جازان
4210099040,en,SignaBlok (United States)
2803038625,eo,Pacifik-Nordkcidenta Altlernejo de Arto
1323199999,pt,Agência Central de Inteligência
2801702922,fa,بورس اوراق بهادار اسلو
251424209,gl,Universidade de Xirona
1297244568,en,American Physical Society
1336275712,de,Oklahoma Department of Transportation
11331106,fr,université préfectorale d'infirmières d'Okinawa
31575130,id,School of Oriental and African Studies
2801756737,it,Lowell General Hospital
74750888,be-tarask,Акадэмія навук Летувы
50928471,pt-br,Elmhurst College
158675288,es,FIZ Karlsruhe – Leibniz - Institut für Informationsinfrastruktur
17170469,pl,Solvay
4210092836,en,HOSEI Daini Junior and Senior High School
179066132,ja,スロベニア芸術科学アカデミー
2800879674,ru,Общество промышленной и прикладной математики
60921084,ms,Avaya
2802713533,fr,Wallops Flight Facility
4210161052,en,Korea University
2802207673,en,Trinity College London
4210101642,en,Maa- ja Vesitekniikan Tuki Ry
56934997,zh,长沙理工大学
29365675,yue,國立臺灣藝術大學
1336375059,ro,Institutul Goethe
2799520452,zh-hk,阿塔卡瑪大型毫米波天線陣
19880235,is,Ríkisháskóli Moskvu
184793217,nl,ViiV Healthcare
165468398,fa,دوان انرجی
861853513,id,Universitas Roma La Sapienza
4210160303,en,Nference (United States)
181565077,el,Πολιτειακό Πανεπιστήμιο Γεωργίας
28304128,ru,Alcoa
203130945,de,Canadian Pacific Railway
4210095575,en,Veolia (Czechia)
31683504,eo,Pekina Arbarkultiva Universitato
4210162528,en,TQ Environmental (United Kingdom)
4210143098,en,Offshore Monitoring (Cyprus)
2799799709,sr-el,Prefektura Saitama
134635517,zh-cn,万隆理工学院
2802129078,en-ca,Konkoly Observatory
4210140886,en,Ecoserveis
81009624,ast,Universidade São Francisco
2898391981,eo,Germana instituto de kosmofluga inĝenierarto
2969240195,en-ca,Norwegian Directorate of Public Construction and Property
2250650973,zh-my,三星集团
2800672379,nb,Santa Barbara Cottage Hospital
2801368622,pt,Sesame Workshop
4210096241,en,Cenix BioScience (Germany)
880340973,ja,Dominican College(米国ニューヨーク州)
124015162,gl,Indian National Science Academy
33213144,ka,ფლორიდის უნივერსიტეტი
4210162242,en,Beijing Huajia University
2802388269,ar,إي أيه فانكوفر
54459138,vi,Đại học Salford
31419693,sv,Kyungpooks nationella universitet
4210129311,en,St. Joseph Hospital
126419005,en,European Organisation for Research and Treatment of Cancer
112991645,zh-hans,空中客车
11947397,zh-cn,塔塔基础科学研究所
4210093487,en,Holy Spirit Northside Private Hospital
2802103719,he,קרן מחקר הצופה
4210141426,en,Agricultural Research & Education Organization
2534966,ar,جامعة باتنا
2802793936,cy,Cyngor Dinas Efrog
4210165467,en,Bezirkskrankenhaus Augsburg
4210111266,en,Kolektor (Slovenia)
4210167100,en,Fondazione Piemontese per la Ricerca sul Cancro Onlus
2802253539,it,Wesley Medical Center
2801080794,en,Government of Thailand
2898391981,cy,Canolfan Awyrofod yr Almaen
50050410,eo,Franca Universitato en Egiptio
118636833,id,Yayasan Rockefeller
105036370,fr,AstraZeneca
194019607,nb,Universitetet i Ioánnina
2801924832,nb,The Hermitage
8087733,es,Universidad de Tubinga
4210125362,en,DunavNET (Serbia)
1281955477,ja,ナショナル・ギャラリー
4210128826,en,Medtentia (Finland)
25846049,fa,دانشگاه ملی تسینگ هوآ
1320288732,mwl,planta
4210144757,en,TKI Treco
4210125220,en,Heckscher Foundation for Children
4210139511,en,Peter G. Dodge Foundation
1342911587,or,ଓରାକଲ
368840534,azb,میسیسیپی بیلیم‌یوردو
4210118930,en,Amjet Turbine System (United States)
4392021177,en,Geologic Hazards Science Center
181738859,ur,امریکن جیوئش یونیورسٹی
2801851002,zh-hant,哈佛大學出版社
2802595083,fi,Lundin kunta
27837315,hy,Միչիգանի համալսարան
2859025540,en,Leduc Community Hospital
2802091258,it,Derde weg
4210144949,en,National Museum of Fine Arts of Quebec
2801845190,uk,Альбертслунн
2801246084,id,Children's Defense Fund
61970326,fi,Vertex Pharmaceuticals
134987099,zh-hk,蒙古科學院
31959934,de,Nasarawa State University
4210112697,en,Global Aerospace (United States)
2800237463,nds-nl,Association for Women Geoscientists
